date,link,kubikmeter,produkt,currency,price
2025-10-09 19:07:33,app.entsorgo.de,10,Sperrmüll Container,€,852.86
2025-10-09 19:07:33,app.entsorgo.de,3,Bauschutt (nicht sortenrein) Container,€,319.81
2025-10-09 19:07:33,app.entsorgo.de,5,Bauschutt (nicht sortenrein) Container,€,399.74
2025-10-09 19:07:33,app.entsorgo.de,7,Bauschutt (nicht sortenrein) Container,€,559.64
2025-10-09 19:07:33,app.entsorgo.de,3,Holz behandelt (A2-A3) Container,€,275.4
2025-10-09 19:07:33,app.entsorgo.de,5,Holz behandelt (A2-A3) Container,€,310.95
2025-10-09 19:07:33,app.entsorgo.de,7,Holz behandelt (A2-A3) Container,€,390.82
2025-10-09 19:07:33,app.entsorgo.de,10,Holz behandelt (A2-A3) Container,€,434.24
2025-10-09 19:07:33,app.entsorgo.de,15,Holz behandelt (A2-A3) Container,€,538.79
2025-10-09 19:07:33,app.entsorgo.de,22,Holz behandelt (A2-A3) Container,€,640.1
2025-10-09 19:07:33,app.entsorgo.de,40,Holz behandelt (A2-A3) Container,€,900.64
2025-10-09 19:07:33,app.entsorgo.de,1,Asbesthaltige Baustoffe (inkl. BigBags) Container,€,464.1
2025-10-09 19:07:33,app.entsorgo.de,3,Asbesthaltige Baustoffe (inkl. BigBags) Container,€,963.72
2025-10-09 19:07:33,app.entsorgo.de,3,"Dämmwolle, Glaswolle, oder Isolierwolle (inkl. Big Bags) Container",€,399.13
2025-10-09 19:07:33,app.entsorgo.de,5,"Dämmwolle, Glaswolle, oder Isolierwolle (inkl. Big Bags) Container",€,666.29
2025-10-09 19:07:33,app.entsorgo.de,7,"Dämmwolle, Glaswolle, oder Isolierwolle (inkl. Big Bags) Container",€,932.81
2025-10-09 19:07:33,app.entsorgo.de,3,Bodenaushub (mit Steinen < 20%) Container,€,390.88
2025-10-09 19:07:33,app.entsorgo.de,5,Bodenaushub (mit Steinen < 20%) Container,€,461.93
2025-10-09 19:07:33,app.entsorgo.de,7,Bodenaushub (mit Steinen < 20%) Container,€,646.71
2025-10-09 19:07:33,app.entsorgo.de,1,Styropor (HBCD frei mit Nachweis) Container,€,559.67
2025-10-09 19:07:33,app.entsorgo.de,3,Styropor (HBCD frei mit Nachweis) Container,€,666.4
